question,answer
"What's the rent at 50 W 17th St, Suite PH?",$109.00/SF/year. Monthly Rent is $148985. Broker: Davy Jones (test2@okadaco.com)
"What's the rent at 7 W 36th St, Suite 1200?",$84.00/SF/year. Monthly Rent is $131796. Broker: Joshamee Gibbs (test2@okadaco.com)
"What's the rent at 8 W 38th St, Suite 901?",$80.00/SF/year. Monthly Rent is $115533. Broker: Hector Barbossa (test2@okadaco.com)
"What's the rent at 8 W 38th St, Suite 1102?",$93.00/SF/year. Monthly Rent is $134191. Broker: Davy Jones (test2@okadaco.com)
"What's the rent at 8 W 38th St, Suite 1103?",$90.00/SF/year. Monthly Rent is $149190. Broker: Tia Dalma (test2@okadaco.com)
"What's the rent at 8 W 38th St, Suite 1104?",$92.00/SF/year. Monthly Rent is $78039. Broker: Jack Sparrow (test2@okadaco.com)
"What's the rent at 39-41 W 38th St, Suite 5W?",$84.00/SF/year. Monthly Rent is $81368. Broker: Tia Dalma (test2@okadaco.com)
"What's the rent at 39-41 W 38th St, Suite 8W?",$89.00/SF/year. Monthly Rent is $142890. Broker: Bootstrap Bill (test2@okadaco.com)
"What's the rent at 42 W 38th St, Suite 604?",$97.00/SF/year. Monthly Rent is $78546. Broker: Cutler Beckett (test2@okadaco.com)
"What's the rent at 42 W 38th St, Suite 800?",$99.00/SF/year. Monthly Rent is $97276. Broker: James Norrington (test2@okadaco.com)
"What's the rent at 42 W 38th St, Suite 1004?",$91.00/SF/year. Monthly Rent is $76592. Broker: Will Turner (test2@okadaco.com)
"What's the rent at 42 W 38th St, Suite 1200?",$101.00/SF/year. Monthly Rent is $124836. Broker: Bootstrap Bill (test2@okadaco.com)
"What's the rent at 6 W 48th St, Suite 400?",$83.00/SF/year. Monthly Rent is $76547. Broker: Elizabeth Swann (test2@okadaco.com)
"What's the rent at 6 W 48th St, Suite 500?",$102.00/SF/year. Monthly Rent is $122689. Broker: Cutler Beckett (test2@okadaco.com)
"What's the rent at 6 W 48th St, Suite 600?",$109.00/SF/year. Monthly Rent is $106384. Broker: Hector Barbossa (test2@okadaco.com)
"What's the rent at 144 W 37th St, Suite 400?",$104.00/SF/year. Monthly Rent is $130953. Broker: Davy Jones (test2@okadaco.com)
"What's the rent at 144 W 37th St, Suite 500?",$106.00/SF/year. Monthly Rent is $155219. Broker: Elizabeth Swann (test2@okadaco.com)
"What's the rent at 40 W 38th St, Suite 1008?",$84.00/SF/year. Monthly Rent is $123704. Broker: Davy Jones (test2@okadaco.com)
"What's the rent at 60 W 45th S, Suite 788?",$88.00/SF/year. Monthly Rent is $140866. Broker: Hector Barbossa (test2@okadaco.com)
"What's the rent at 412 Broadway, Suite 792?",$109.00/SF/year. Monthly Rent is $147777. Broker: Davy Jones (test2@okadaco.com)
"What's the rent at 135 W 52nd St, Suite 1189?",$82.00/SF/year. Monthly Rent is $116508. Broker: Davy Jones (test2@okadaco.com)
"What's the rent at 171 Elizabeth St, Suite 768?",$107.00/SF/year. Monthly Rent is $173937. Broker: Tia Dalma (test2@okadaco.com)
"What's the rent at 84 Mulberry St, Suite 1118?",$101.00/SF/year. Monthly Rent is $80522. Broker: Tia Dalma (test2@okadaco.com)
"What's the rent at 288-290 Water St, Suite 1069?",$85.00/SF/year. Monthly Rent is $135525. Broker: Joshamee Gibbs (test2@okadaco.com)
